PERMNO,date,RET
10501,20170630,0.029634
10501,20170731,0.027211
10501,20170831,-0.156393
10501,20170929,0.162440
10501,20171031,0.003636
10501,20171130,0.031056
10501,20171229,0.307731
10501,20180131,0.042994
10501,20180228,-0.054840
10501,20180329,-0.233255
10501,20180430,-0.165058
10501,20180531,0.254258
10501,20180629,-0.112027
10501,20180731,-0.088476
10501,20180831,0.017975
10501,20180928,-0.076516
10501,20181031,-0.229573
10501,20181130,0.106717
10501,20181231,-0.167589
10501,20190131,0.256286
10501,20190228,0.218013
10501,20190329,-0.030164
10501,20190430,0.088346
10501,20190531,-0.193929
10501,20190628,0.167333
10501,20190731,0.002718
10501,20190830,-0.029228
10501,20190930,0.079398
10501,20191031,0.115285
10501,20191129,0.037717
10501,20191231,0.015646
10501,20200131,0.049182
10501,20200228,-0.236024
10501,20200331,-0.456010
10501,20200430,0.128154
10501,20200529,0.220774
10501,20200630,0.205386
10501,20200731,0.065697
10501,20200831,0.085339
10501,20200930,-0.102400
10501,20201030,0.051821
10501,20201130,0.059315
10501,20201231,0.072449
10501,20210129,-0.078210
10501,20210226,0.079760
10501,20210331,0.055347
10501,20210430,0.008927
10501,20210528,-0.126081
10501,20210630,-0.060170
10501,20210730,-0.091076
10501,20210831,-0.051044
10501,20210930,-0.072240
10501,20211029,0.051553
10501,20211130,-0.103288
10501,20211231,0.057755
10516,20170131,-0.030449
10516,20170228,0.068459
10516,20170331,-0.019800
10516,20170428,-0.006299
10516,20170531,-0.084153
10516,20170630,-0.004810
10516,20170731,0.019333
10516,20170831,-0.012802
10516,20170929,0.028800
10516,20171031,-0.038579
10516,20171130,-0.016393
10516,20171229,0.005015
10516,20180131,0.071607
10516,20180228,-0.025495
10516,20180329,0.044557
10516,20180430,0.046345
10516,20180531,-0.029198
10516,20180629,0.048262
10516,20180731,0.053022
10516,20180831,0.051285
10516,20180928,-0.002579
10516,20181031,-0.060076
10516,20181130,-0.018942
10516,20181231,-0.109735
10516,20190131,0.095924
10516,20190228,-0.045657
10516,20190329,0.014824
10516,20190430,0.034083
10516,20190531,-0.132960
10516,20190628,0.064718
10516,20190731,0.006863
10516,20190830,-0.065239
10516,20190930,0.079369
10516,20191031,0.023618
10516,20191129,0.029496
10516,20191231,0.079665
10516,20200131,-0.034304
10516,20200228,-0.150804
10516,20200331,-0.065604
10516,20200430,0.055713
10516,20200529,0.068121
10516,20200630,0.015009
10516,20200731,0.073434
10516,20200831,0.053467
10516,20200930,0.038651
